obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,calc_area,calc_area_err,calc_area_samperr,msg
2004ef,2453255.66,pW4,4500.266,5066.6299,,0.0,,173.90808107457505,0.0,11.467141221346033,9.33574522067817e-14,0.0,9.02180797395827e-15,
2004ef,2453256.68,pW2,3890.3403,4074.5124,10834.357630878929,0.0,0.0,20.175033327619445,0.0,3.0133803546082447,1.6991630044445404e-14,0.0,2.7451717773145152e-15,
2004ef,2453256.68,pW3,4077.5316,4463.9911,12852.230651284202,0.0,0.0,90.39940561218262,0.0,8.134893826219416,6.237036315590809e-14,0.0,7.431111133434692e-15,
2004ef,2453256.68,pW4,4501.7313,5070.8533,21736.879052214266,0.0,0.0,177.09772400614423,0.0,5.128818600768032,9.487853129731793e-14,0.0,3.724088773536863e-15,
2004ef,2453256.68,pW5,5069.3437,5605.2543,9672.27758378941,0.0,0.0,84.97459072635357,0.0,7.220571506757388,3.379074269571736e-14,0.0,3.485850485322477e-15,
2004ef,2453256.68,pW6,5599.2159,5842.2627,11620.370971094731,0.0,0.0,20.199944916338936,0.0,2.658365579722566,6.635615723930404e-15,0.0,9.58353910046108e-16,
2004ef,2453256.68,pW7,5842.2627,6302.6929,14217.784031866986,0.0,0.0,154.56448543202114,0.0,4.471670065139803,4.416008469731243e-14,0.0,1.8559543820604677e-15,
2004ef,2453257.77,pW1,3873.8618,4065.0538,-2478.131300693874,0.0,0.0,14.525222059913556,0.0,3.373955944008597,2.2223711966222273e-14,0.0,5.701336342148664e-15,not sure why some lines don't fit
2004ef,2453257.77,pW2,4069.1217,4484.0489,-11202.329509975067,0.0,0.0,106.91959245284951,0.0,5.304982106078985,1.2129477103019508e-13,0.0,8.09021590927571e-15,
2004ef,2453257.77,pW3,4488.1168,5057.6248,-20839.89551281777,0.0,0.0,173.90157037544446,0.0,7.171854443234133,1.2280719132460171e-13,0.0,7.086972976469185e-15,
2004ef,2453257.77,pW4,5159.3226,5643.4044,-11360.088933406078,0.0,0.0,80.3418166387796,0.0,4.157627698795636,4.816289162983105e-14,0.0,2.9653715652852963e-15,
2004ef,2453257.77,pW5,5846.8001,6277.999,-29273.942544873742,0.0,0.0,114.72410296908683,0.0,13.656183579772833,6.051613092266472e-14,0.0,8.799529581134782e-15,feature before this seems a little unclear
